Right Shoulder Abduction;Right Shoulder Internal;Right Shoulder Flexion;Right Elbow Pronation;Right Elbow Flexion;Right Wrist Ulnar;Right Wrist Flexion;Right Hip Flexion;Right Knee Flexion;Right Ankle Dorsiflexion;Left Shoulder Abduction;Left Shoulder Internal;Left Shoulder Flexion;Left Elbow Pronation;Left Elbow Flexion;Left Wrist Ulnar;Left Wrist Flexion;Left Hip Flexion;Left Knee Flexion;Left Ankle Dorsiflexion;Right Pelvis X;Right Pelvis Y;Right Pelvis Z;Right Pelvis Q0;Right Pelvis Q1;Right Pelvis Q2;Right Pelvis Q3;Left Pelvis X;Left Pelvis Y;Left Pelvis Z;Left Pelvis Q0;Left Pelvis Q1;Left Pelvis Q2;Left Pelvis Q3
15,15819773;9,325403289;16,76855743;127,7641609;56,73340862;-7,029268329;-14,20730389;56,13399589;15,16772474;6,143817271;13,86361301;8,061524314;15,36289486;124,0764223;56,21591085;-4,982104909;-14,7777155;56,96699779;18,6551291;5,756880713;-0,118095093;-0,277515885;0,352322641;0,687615969;0,173257146;-0,183136592;0,671707051;-0,090774102;-0,284306803;0,35119925;0,666588468;0,170396193;-0,191097603;0,691118576
15,10450261;9,332268994;16,73389932;127,8511481;56,52854226;-7,033612776;-14,13459881;56,03134738;16,42728572;5,852879835;13,81036528;8,073529677;15,36216345;124,1172208;56,03026823;-5,017089995;-14,71148809;56,82113982;20,01126165;5,442940974;-0,118139094;-0,277492458;0,352358696;0,68761252;0,173314419;-0,183202132;0,671725717;-0,090706069;-0,284232287;0,351247585;0,666565465;0,170450545;-0,191316254;0,691118677
15,04983957;9,359438705;16,7204547;127,9381344;56,30337737;-7,050789123;-14,06261999;55,90247035;17,84316381;5,533721513;13,75954134;8,101225192;15,36623285;124,1467431;55,83900256;-5,060495291;-14,64663932;56,66215796;21,52228355;5,121201103;-0,118183103;-0,27745103;0,352411893;0,687611129;0,173400554;-0,183295404;0,671731541;-0,090633077;-0,284137487;0,351314234;0,666517344;0,170518982;-0,191582308;0,691123877
14,99976774;9,399276249;16,7240456;128,0191318;56,07217289;-7,077922334;-14,00032005;55,75679849;19,41439942;5,193234856;13,71170504;8,152417938;15,37859179;124,1612994;55,6349374;-5,111454712;-14,58605848;56,49118905;23,19138297;4,796731767;-0,118227843;-0,27739292;0,352481099;0,687610114;0,173514;-0,183429826;0,671723524;-0,090560607;-0,28402146;0,351400408;0,666444968;0,17059818;-0,191879148;0,691136644
14,95381601;9,450883948;16,74307128;128,0943257;55,83770975;-7,111650854;-13,94805068;55,60187997;21,14066686;4,836618398;13,66996035;8,219581398;15,39739833;124,1639273;55,42689039;-5,167012772;-14,52594501;56,31769327;25,00607108;4,460696187;-0,118272208;-0,277321966;0,352563467;0,6876068;0,173642984;-0,183581107;0,671709508;-0,09049079;-0,283891935;0,351499995;0,666353469;0,170681608;-0,192181246;0,691159343
14,91249577;9,512822637;16,77365404;128,1563476;55,60212065;-7,147134463;-13,90806106;55,44753567;23,0221691;4,464478831;13,63283445;8,305374837;15,42248885;124,1548355;55,21314737;-5,224861982;-14,46842167;56,13962359;26,95808614;4,105323971;-0,118314941;-0,277244539;0,3526551;0,687604321;0,173776144;-0,183740728;0,671687924;-0,090427714;-0,283753002;0,351609724;0,666262034;0,170770873;-0,192481465;0,691177127
14,87589913;9,590923935;16,81043556;128,2028388;55,37291092;-7,180508599;-13,88158091;55,30106492;25,05864149;4,077324567;13,60166753;8,399954991;15,450076;124,1530566;55,00322436;-5,282185145;-14,41351649;55,96688347;29,0366569;3,711247832;-0,118353362;-0,277165761;0,352755186;0,687611776;0,173903219;-0,183898507;0,671650408;-0,090372383;-0,283610277;0,351723656;0,666180568;0,170847991;-0,192767883;0,691185627
14,84500105;9,681379518;16,84878421;128,2305142;55,15597067;-7,211477087;-13,8639264;55,16689922;27,23657863;3,671353693;13,57639888;8,503792756;15,48206464;124,1585259;54,79182734;-5,334820096;-14,3628538;55,79877949;31,2388225;3,280808874;-0,118384426;-0,277087913;0,352863452;0,687623273;0,174019519;-0,184047706;0,671606465;-0,090325101;-0,283464308;0,35184121;0,666113264;0,170914711;-0,193039402;0,691182084
14,82171577;9,785707776;16,88861561;128,2455544;54,95516352;-7,239161928;-13,85297116;55,04440599;29,54948975;3,240524095;13,55465766;8,609655097;15,5165659;124,1745389;54,57854531;-5,379839554;-14,31683;55,63350372;33,5444338;2,817914046;-0,118405801;-0,277013351;0,352979045;0,68764097;0,174132889;-0,184193825;0,671552442;-0,090286676;-0,283319547;0,351960917;0,666030384;0,170979359;-0,193299801;0,691193417
14,80319347;9,900903244;16,928754;128,2563451;54,77039658;-7,266113624;-13,84500206;54,93305146;31,97391434;2,773103587;13,53765656;8,721663078;15,5562797;124,1919152;54,35976618;-5,412638235;-14,27887796;55,4702943;35,93859569;2,323922278;-0,118422215;-0,276942259;0,353100076;0,68766087;0,174234471;-0,184331559;0,671496739;-0,09025507;-0,283180625;0,352081887;0,665943878;0,171029161;-0,19352539;0,691215234
14,78639095;10,02646331;16,97203638;128,2757557;54,59352073;-7,29250621;-13,84075741;54,83324872;34,48412808;2,265103243;13,52322727;8,837993924;15,59981275;124,2093159;54,13606442;-5,431392459;-14,25045012;55,30658715;38,39209638;1,79763524;-0,118438741;-0,276878505;0,353221118;0,687683224;0,174311365;-0,184441707;0,671446769;-0,090232044;-0,283048685;0,352201843;0,665872751;0,171068646;-0,193721982;0,691229997
14,77014741;10,15179488;17,01498913;128,307979;54,41318088;-7,317001116;-13,83539273;54,74029132;37,05419891;1,726229815;13,5083625;8,963073445;15,64901147;124,2351815;53,90250641;-5,438512484;-14,22917724;55,14271162;40,88623579;1,2500676;-0,118456475;-0,276822721;0,353338824;0,687708785;0,174347689;-0,18449322;0,671410066;-0,090216587;-0,282928021;0,352316735;0,665815122;0,171069032;-0,193869382;0,691250829
14,75266274;10,27242528;17,06063411;128,361587;54,22144111;-7,335990218;-13,83267998;54,64744772;39,66415211;1,16997705;13,49191511;9,091184638;15,70375911;124,2709648;53,65849412;-5,43838255;-14,21259989;54,98140962;43,40131861;0,679430673;-0,118475802;-0,276776581;0,35345266;0,687732757;0,174345313;-0,184488377;0,671390623;-0,090205948;-0,28282144;0,352420511;0,665782483;0,171018813;-0,193949028;0,691276536
14,73145939;10,38606587;17,10973278;128,4334465;54,01652477;-7,350237874;-13,82251502;54,55232854;42,28166159;0,604195653;13,47111664;9,223457106;15,76229313;124,3139008;53,39734093;-5,432736659;-14,19905674;54,82158677;45,9150334;0,104683682;-0,1184961;-0,276744248;0,353561087;0,687768466;0,174294699;-0,184406762;0,671384334;-0,090197161;-0,282731022;0,352510607;0,665776866;0,170896077;-0,193945535;0,691316284
14,70235378;10,49330786;17,16690375;128,5116149;53,79681859;-7,356402037;-13,80449873;54,45014008;44,8907722;0,045255971;13,44322907;9,356357829;15,8253425;124,348016;53,11050058;-5,424431763;-14,18428836;54,65740606;48,39586653;-0,462148197;-0,118518133;-0,276723243;0,353662154;0,687818132;0,174205418;-0,184272554;0,671385475;-0,090184566;-0,282656523;0,352587872;0,665806234;0,170705347;-0,193858069;0,691358805
14,66437314;10,60266351;17,23265873;128,5791847;53,56120803;-7,353390932;-13,77714334;54,342368;47,47430096;-0,508319766;13,40703556;9,490837515;15,89297814;124,3645097;52,79765072;-5,407687669;-14,17116742;54,49100723;50,83547199;-1,015639244;-0,118545452;-0,276716417;0,353754283;0,687884198;0,174067583;-0,18407465;0,671396988;-0,090165482;-0,282604716;0,352650118;0,665844839;0,170434695;-0,19367701;0,691433539
