Right Shoulder Abduction;Right Shoulder Internal;Right Shoulder Flexion;Right Elbow Pronation;Right Elbow Flexion;Right Wrist Ulnar;Right Wrist Flexion;Right Hip Flexion;Right Knee Flexion;Right Ankle Dorsiflexion;Left Shoulder Abduction;Left Shoulder Internal;Left Shoulder Flexion;Left Elbow Pronation;Left Elbow Flexion;Left Wrist Ulnar;Left Wrist Flexion;Left Hip Flexion;Left Knee Flexion;Left Ankle Dorsiflexion;Right Pelvis X;Right Pelvis Y;Right Pelvis Z;Right Pelvis Q0;Right Pelvis Q1;Right Pelvis Q2;Right Pelvis Q3
3,885204625;53,53515413;78,29071498;117,3676619;-6,087442889;-1,615446912;6,228580362;59,12380229;78,63392099;-3,068104808;0,751065282;47,39321129;74,46132518;108,0797066;-4,585824793;-5,966268499;5,501869387;60,6963607;82,18997645;0,154102048;-0,109034623;-0,255827608;0,346381829;0,700579775;0,109920812;-0,144548832;0,676586433
3,886986996;53,53153534;78,29944185;117,3747722;-6,086509172;-1,611602412;6,224007173;59,129704;78,63507389;-3,069395756;0,758168003;47,39919985;74,46947282;108,0819075;-4,594607675;-5,963695393;5,49127458;60,69916418;82,19162288;0,173717357;-0,109042757;-0,255823654;0,346332971;0,700556967;0,109884606;-0,144538403;0,676608914
3,867965745;53,53832779;78,35841184;117,3724944;-6,082767925;-1,609868591;6,217167603;59,15618793;78,6383114;-3,069080584;0,774370046;47,40982439;74,49047843;108,0866962;-4,599580659;-5,967417212;5,495121416;60,72526103;82,19727562;0,171862903;-0,109051809;-0,255838015;0,34626668;0,700560413;0,109842573;-0,144403902;0,676610172
3,863936934;53,53745376;78,3608186;117,3794565;-6,081899177;-1,608117232;6,21869254;59,15460186;78,63759594;-3,069853811;0,782299398;47,41341494;74,49631393;108,0968028;-4,601836909;-5,968984502;5,49821445;60,72402932;82,19799721;0,175642084;-0,109061645;-0,255839377;0,346215898;0,700568023;0,109845323;-0,144405116;0,676594585
3,84054978;53,54221637;78,37646251;117,4091091;-6,09003101;-1,606239408;6,227549232;59,2098106;78,64671685;-3,081514302;0,772532974;47,42495261;74,50331697;108,0984696;-4,608938367;-5,967753371;5,50117325;60,78378469;82,22254152;0,223390252;-0,109083298;-0,255860553;0,34613769;0,700623484;0,109584;-0,144195529;0,676523519
3,833440198;53,54502731;78,38388806;117,4202836;-6,09619395;-1,607733106;6,230414683;59,2326955;78,65232951;-3,085098706;0,777239313;47,43231796;74,50450633;108,0975195;-4,604968398;-5,965759487;5,500706047;60,80488434;82,22999762;0,238715192;-0,109101805;-0,255868934;0,34606774;0,700607004;0,109475917;-0,144111408;0,676531919
3,833917904;53,53360696;78,4012704;117,432302;-6,106399994;-1,603703387;6,22221118;59,26070821;78,67478077;-3,086049561;0,767977803;47,44553563;74,51057509;108,0929397;-4,605881348;-5,955788677;5,49228941;60,81095365;82,2380877;0,28905803;-0,109103733;-0,255883973;0,345988844;0,700620651;0,109467431;-0,144069293;0,676521045
3,824871304;53,52532379;78,43391207;117,4398624;-6,115336041;-1,602687108;6,215377824;59,29965786;78,68706141;-3,086523579;0,781621492;47,45007598;74,52417055;108,0971916;-4,605445938;-5,949396186;5,477121287;60,84301718;82,24499959;0,308431609;-0,109109938;-0,255893869;0,345907634;0,700602072;0,109336507;-0,143928548;0,676564483
3,817930455;53,52552531;78,46194436;117,4404319;-6,115042065;-1,603193146;6,214568584;59,31383732;78,69084266;-3,086420143;0,794087126;47,45609436;74,5348701;108,0986656;-4,609979347;-5,951788373;5,478704828;60,85654046;82,24836673;0,308255503;-0,109115622;-0,255903223;0,345836808;0,700598828;0,109303538;-0,143860439;0,676572328
3,810989606;53,52832853;78,46863322;117,4489221;-6,110765674;-1,601346604;6,215453009;59,32334147;78,69260256;-3,089766763;0,7943578;47,46193377;74,54115422;108,0920796;-4,621449531;-5,956021614;5,483641335;60,86904089;82,25432385;0,318897475;-0,109125191;-0,255905545;0,345779279;0,700620744;0,109251624;-0,143820169;0,676543958
